N,link,price,cls,active
65,https://kaspi.kz/shop/p/nasos-pogruzhnoi-vihr-dn-350-27700157,20190,0,1
66,https://kaspi.kz/shop/p/resanta-tep-24000k-krasnyi-6201037,216190,0,1
67,https://kaspi.kz/shop/p/resanta-fe-2000ek-100001366,19390,0,1
68,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-saipa-220-65-10-mig-mag--30000132,191890,0,1
69,https://kaspi.kz/shop/p/resanta-mb-52-70-13-30--105846439,73390,0,1
70,https://kaspi.kz/shop/p/stabilizator-naprjazhenija-resanta-lux-asn-10000-1-ts-5400770,114690,0,1
71,https://kaspi.kz/shop/p/shlifmashina-ekstsentrikovaja-vihr-eshm-125e-72-6-5-12500773,22990,0,1
72,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-250ad-ac-dc-tig-mma--30000255,313890,0,1
73,https://kaspi.kz/shop/p/vihr-izmel-chitel-zerna-zd-400k-100861674,35890,0,1
74,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-200-ad-65-94-105109763,230990,0,1
75,https://kaspi.kz/shop/p/nasosnaja-stantsija-vihr-asv-800-20ch-27701143,73490,0,1
76,https://kaspi.kz/shop/p/fekal-nyi-nasos-vihr-fn-250-27700282,49990,0,1
77,https://kaspi.kz/shop/p/nasos-pogruzhnoi-vihr-dn-400b-68-2-16-104798577,29190,0,1
78,https://kaspi.kz/shop/p/resanta-tgp-15000-6201016,47590,0,1
79,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-160t-lux-mma--100140918,55590,0,1
80,https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-huter-dy3000l-17900033,143290,0,1
81,https://kaspi.kz/shop/p/xiaomi-inface-ultrasonic-ion-skin-cleanser-ul-trazvukovaja-chistka-ms7101-104829289,18446.8,0,1
82,https://kaspi.kz/shop/p/resanta-mb-63-106014866,95890,0,1
83,https://kaspi.kz/shop/p/shlifmashina-uglovaja-vihr-ushm-150-1300-12500210,27690,0,1
84,https://kaspi.kz/shop/p/resanta-drel-du-13-580-100141542,18290,0,1
85,https://kaspi.kz/shop/p/vihr-la-3h14-915-sm-100128471,145000,0,1
86,https://kaspi.kz/shop/p/frezer-vertikal-nyi-resanta-fm-1300e-100084551,38890,0,1
87,https://kaspi.kz/shop/p/shlifmashina-uglovaja-resanta-ushm-150-1300-100002771,32990,0,1
88,https://kaspi.kz/shop/p/vihr-t-110-2-100444614,47490,0,1
89,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-205t-lux-mma--101389633,71390,0,1
90,https://kaspi.kz/shop/p/resanta-drel--shurupovert-da-14-2lk-75-14-4-100002729,35990,0,1
91,https://kaspi.kz/shop/p/resanta-tp-255l-75-18-3-104946415,102290,0,1
92,https://kaspi.kz/shop/p/moika-elektricheskaja-huter-m195-pw-pro-195-bar-100198504,94190,0,1
93,https://kaspi.kz/shop/p/vihr-t-65-2-100084387,28590,0,1
94,https://kaspi.kz/shop/p/huter-gbm-35-33900071,104890,0,1
95,https://kaspi.kz/shop/p/vihr-t-110-1-100444716,39690,0,1
96,https://kaspi.kz/shop/p/resanta-l-65-650-100086053,22590,0,1
97,https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-huter-dy6500l-17900036,281390,0,1
98,https://kaspi.kz/shop/p/moika-elektricheskaja-huter-w195-ql-195-bar-15800051,95890,0,1
99,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-saipa-350-mig-mag-mma-100785284,1218890,0,1
100,https://kaspi.kz/shop/p/resanta-shlifmashina-uglovaja-mashina-ushm-125-1100e-104422217,25590,0,1
101,https://kaspi.kz/shop/p/huter-gruntozatsep-dlja-kul-tivatorov-540-90-71-3-55-106470439,34982,0,1
102,https://kaspi.kz/shop/p/kompressor-masljanyi-vihr-kmp-260-24-50600001,79990,0,1
103,https://kaspi.kz/shop/p/nasos-skvazhinnyi-vihr-sn-55-100139477,94290,0,1
104,https://kaspi.kz/shop/p/moika-elektricheskaja-huter-w165-ql-165-bar-15800107,82790,0,1
105,https://kaspi.kz/shop/p/resanta-tdp-30000-6201029,163690,0,1
106,https://kaspi.kz/shop/p/vihr-stremjanka-stal-najass-1h3-73-5-1-7-103305348,13869,0,1
107,https://kaspi.kz/shop/p/resanta-tep-5000k1-67-1-19-100000811,53690,0,1
108,https://kaspi.kz/shop/p/stabilizator-naprjazhenija-resanta-asn-500-1-ts-5400736,18190,0,1
109,https://kaspi.kz/shop/p/kompressor-masljanyi-vihr-kmp-400-100-74-3-9-100264622,213690,0,1
110,https://kaspi.kz/shop/p/resanta-g-180eg-100108084,26390,0,1
111,https://kaspi.kz/shop/p/resanta-benzinovaja-bp-5218-70-6-16-101400036,61090,0,1
112,https://kaspi.kz/shop/p/frezer-vertikal-nyi-vihr-fm-1900-42400018,48790,0,1
113,https://kaspi.kz/shop/p/frezer-vertikal-nyi-resanta-fm-1900e-100154530,57290,0,1
114,https://kaspi.kz/shop/p/moika-elektricheskaja-huter-w105-p-105-bar-15800070,39290,0,1
115,https://kaspi.kz/shop/p/yunmai-sports-jump-rope-ymhr-p702-300-sm-chernyi-100569632,5034,0,1
116,https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-huter-ht1000l-17900046,103790,0,1
117,https://kaspi.kz/shop/p/xiaomi-deerma-hx20-belyi-100506868,17455.2,0,1
118,https://kaspi.kz/shop/p/huter-rk-850v-14-71-3-59-102218022,140590,0,1
119,https://kaspi.kz/shop/p/huter-esh-2800-pro-70-13-17-100585195,171490,0,1
120,https://kaspi.kz/shop/p/huter-benzinovaja-bs-52m-19200156,53690,0,1
121,https://kaspi.kz/shop/p/vihr-drel--shurupovert-da-18l-2-12300866,23990,0,1
122,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-saipa-165-evro-rukav-65-95-ms-mig-mag-mma-maska-ms-6-105146827,145990,0,1
123,https://kaspi.kz/shop/p/shlifmashina-uglovaja-resanta-ushm-11000a-125-104422251,30090,0,1
124,https://kaspi.kz/shop/p/shlifmashina-uglovaja-resanta-resanta-ushm-125-900-100002775,19990,0,1
125,https://kaspi.kz/shop/p/drenazhnyi-nasos-vihr-dn-1100n-27700128,44290,0,1
126,https://kaspi.kz/shop/p/resanta-benzinovaja-bp-4516-70-6-14--101531911,57990,0,1
127,https://kaspi.kz/shop/p/shlifmashina-uglovaja-resanta-resanta-ushm-115-800-12500851,19190,0,1
128,https://kaspi.kz/shop/p/resanta-p-32-1400kv-sds-plus-104422072,57190,0,1
129,https://kaspi.kz/shop/p/stabilizator-naprjazhenija-resanta-ach-1000-n2-1-ts-105319570,28790,0,1
130,https://kaspi.kz/shop/p/vihr-drel--shurupovert-da-18l-2ku-b-72-14-23-100283528,48990,0,1
131,https://kaspi.kz/shop/p/resanta-ipr-40-60400001,266790,0,1
132,https://kaspi.kz/shop/p/vihr-t-90-2-100098678,38690,0,1
133,https://kaspi.kz/shop/p/vihr-shurupovert-ssh-550-2-12300404,17890,0,1
134,https://kaspi.kz/shop/p/huter-elektricheskaja-els-2400-70-10-2-19200010,50990,0,1
135,https://kaspi.kz/shop/p/huter-ggd-62-100686900,84190,0,1
136,https://kaspi.kz/shop/p/shlifmashina-uglovaja-vihr-ushm-150-1400e-12500627,29790,0,1
137,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-250pn-mma--30000059,103890,0,1
138,https://kaspi.kz/shop/p/nasos-skvazhinnyi-vihr-sn-100v-27700151,67890,0,1
139,https://kaspi.kz/shop/p/nasosnaja-stantsija-vihr-asv-1200-24ch-27700723,87390,0,1
140,https://kaspi.kz/shop/p/vihr-gaikovert-gs-1100-72-24-1-101629629,39390,0,1
141,https://kaspi.kz/shop/p/kamera-videonabljudenija-xiaomi-mijia-smart-camera-ptz-version-2k-mjsxj09cm-2304x1296-100874973,17679.88,0,1
142,https://kaspi.kz/shop/p/resanta-tdpn-20000-102383057,270990,0,1
143,https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-huter-dy2500l-17900032,137590,0,1
144,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-220pn-mma--30000058,93690,0,1
145,https://kaspi.kz/shop/p/resanta-r-82-800-48600061,28590,0,1
146,https://kaspi.kz/shop/p/shlifmashina-uglovaja-resanta-ushm-125-1100-100002847,23790,0,1
147,https://kaspi.kz/shop/p/vihr-mfi-400-72-4-3-100726732,22090,0,1
148,https://kaspi.kz/shop/p/resanta-tgp-50000-6201027,79090,0,1
149,https://kaspi.kz/shop/p/shlifmashina-ekstsentrikovaja-resanta-eshm-125e-100012404,27290,0,1
150,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-190pn-mma--30000057,69590,0,1
151,https://kaspi.kz/shop/p/huter-akkumuljatornyi-sp-16ac-70-13-29-104443341,32090,0,1
152,https://kaspi.kz/shop/p/shlifmashina-uglovaja-resanta-ushm-125-1200e-100084545,29390,0,1
153,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-190t-lux-mma--100141680,66590,0,1
154,https://kaspi.kz/shop/p/huter-mk-7000p-70-5-2-30400003,234590,0,1
155,https://kaspi.kz/shop/p/shlang-vihr-73-7-2-3-50-m-101266040,43231.72,0,1
156,https://kaspi.kz/shop/p/vihr-drel--shurupovert-da-24l-2k-b-100266081,55090,0,1
157,https://kaspi.kz/shop/p/vihr-drel--shurupovert-da-12l-2k-12300392,23690,0,1
158,https://kaspi.kz/shop/p/resanta-drel--shurupovert-resanta-da-12-2lk-100002730,29490,0,1
159,https://kaspi.kz/shop/p/moika-elektricheskaja-resanta-mr-140-140-bar-101407733,61090,0,1
160,https://kaspi.kz/shop/p/xiaomi-irrigator-mijia-electric-flusher-meo701-impul-snyi-belyi-101120627,15714.8,0,1
161,https://kaspi.kz/shop/p/xiaomi-shvabra-wxcdj01swdk-belyi-103014358,44499,0,1
162,https://kaspi.kz/shop/p/resanta-shurupovert-ssh-550-1-100137549,17090,0,1
163,https://kaspi.kz/shop/p/huter-kul-tivator-gmc-6-5-104439013,#N/A,0,1
164,https://kaspi.kz/shop/p/resanta-tdp-10000-101111306,114090,0,1
165,https://kaspi.kz/shop/p/huter-mk-9500p-30400004,372090,0,1
166,https://kaspi.kz/shop/p/stabilizator-naprjazhenija-resanta-ach-3000-1-ts-5400734,59290,0,1
167,https://kaspi.kz/shop/p/hp-m10-chernyi-103650707,1000,0,1
168,https://kaspi.kz/shop/p/vihr-r-110st-48600005,57790,0,1
169,https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-resanta-bg-4000-r-17900349,202890,0,1
170,https://kaspi.kz/shop/p/huter-mk-8000p-104438981,276390,0,1
171,https://kaspi.kz/shop/p/vihr-drel--shurupovert-da-18l-2ku-12301194,35690,0,1
172,https://kaspi.kz/shop/p/resanta-l-80-750-100147642,24690,0,1
173,https://kaspi.kz/shop/p/elektrogenerator-huter-dy9500lx-3-17900075,533690,0,1
174,https://kaspi.kz/shop/p/vihr-lpa-3-u-34069-100538042,78774,0,1
175,https://kaspi.kz/shop/p/nasos-skvazhinnyi-vihr-sn-135-27700105,126890,0,1
176,https://kaspi.kz/shop/p/resanta-t-220-101320537,25490,0,1
177,https://kaspi.kz/shop/p/resanta-tdp-15000-6201033,129090,0,1
178,https://kaspi.kz/shop/p/vihr-lta-4h4-433-sm-50500075,80009.8,0,1
179,https://kaspi.kz/shop/p/resanta-tep-5000k-krasnyi-6200908,75890,0,1
180,https://kaspi.kz/shop/p/resanta-benzinovaja-bp-6220-70-6-17-101400039,75490,0,1
181,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-saipa-220-sinergija-65-75-tig-mig-mag-mma--100689261,327890,0,1
182,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-saipa-200-65-9-mig-mag-mma--30000129,170890,0,1
183,https://kaspi.kz/shop/p/huter-elektricheskaja-els-2000-19200009,46490,0,1
184,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-saipa-250-mig-mag-mma--100686803,459790,0,1
185,https://kaspi.kz/shop/p/elektrogenerator-huter-dy6500lx-17900042,315390,0,1
186,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-315-mma--30000072,213890,0,1
187,https://kaspi.kz/shop/p/shlang-vihr-73-7-2-12-50-m-100352395,63715,0,1
188,https://kaspi.kz/shop/p/resanta-dl-60-47800039,20590,0,1
189,https://kaspi.kz/shop/p/huter-mk-15000p-70-5-19-105488760,406790,0,1
